node_name,execution_time,node_started_at,node_finished_at,node_status,dbt_pid,thread_name
elixhauser_score_ahrq,0.11148214340209961,2022-08-11T23:45:09.741487,2022-08-11T23:45:09.855094,success,92220,1
elixhauser_score_quan,0.1082909107208252,2022-08-11T23:45:09.857111,2022-08-11T23:45:10.593243,success,92220,1
icustay_hours,0.5369935035705566,2022-08-11T23:45:10.594368,2022-08-11T23:45:11.134883,success,92220,1
meld,0.2885127067565918,2022-08-11T23:45:11.135263,2022-08-11T23:45:11.426795,success,92220,1
pivoted_bg_art,0.06845903396606445,2022-08-11T23:45:11.427337,2022-08-11T23:45:11.498300,success,92220,1
ventilation_durations,0.09536170959472656,2022-08-11T23:45:11.536072,2022-08-11T23:45:11.634903,success,92220,1
qsofa,0.1875467300415039,2022-08-11T23:45:11.635679,2022-08-11T23:45:11.825998,success,92220,1
sirs,0.20300054550170898,2022-08-11T23:45:11.826603,2022-08-11T23:45:12.032453,success,92220,1
epinephrine_dose,0.6646521091461182,2022-08-11T23:45:12.033183,2022-08-11T23:45:12.700292,success,92220,1
heightweight,0.14085650444030762,2022-08-11T23:45:12.700921,2022-08-11T23:45:12.844577,success,92220,1
kdigo_uo,432.0956885814667,2022-08-11T23:45:12.845378,2022-08-11T23:52:24.943451,success,92220,1
norepinephrine_dose,5.498908519744873,2022-08-11T23:52:24.944199,2022-08-11T23:52:30.445833,success,92220,1
lods,0.3620944023132324,2022-08-11T23:52:30.446472,2022-08-11T23:52:30.811280,success,92220,1
mlods,0.27905917167663574,2022-08-11T23:52:30.811850,2022-08-11T23:52:31.093307,success,92220,1
sapsii,1.756514310836792,2022-08-11T23:52:31.094070,2022-08-11T23:52:32.852897,success,92220,1
sofa,3.6867806911468506,2022-08-11T23:52:32.853611,2022-08-11T23:52:36.542558,success,92220,1
ventilation_first_day,0.1442248821258545,2022-08-11T23:52:36.543510,2022-08-11T23:52:36.690142,success,92220,1
kdigo_stages,7.945571422576904,2022-08-11T23:52:36.690529,2022-08-11T23:52:44.638388,success,92220,1
apsiii,4.242406368255615,2022-08-11T23:52:44.639122,2022-08-11T23:52:48.884461,success,92220,1
oasis,1.1262388229370117,2022-08-11T23:52:48.885565,2022-08-11T23:52:50.014060,success,92220,1
saps,0.5679688453674316,2022-08-11T23:52:50.014628,2022-08-11T23:52:50.585050,success,92220,1
kdigo_stages_48hr,0.7053899765014648,2022-08-11T23:52:50.585666,2022-08-11T23:52:51.293198,success,92220,1
kdigo_stages_7day,0.5397372245788574,2022-08-11T23:52:51.293780,2022-08-11T23:52:51.836144,success,92220,1
adenosine_durations,0.20508122444152832,2022-08-15T17:51:21.524543,2022-08-15T17:51:21.736190,success,77074,2
arterial_line_durations,0.29802608489990234,2022-08-15T17:51:21.526184,2022-08-15T17:51:21.834061,success,77074,5
auroc,0.17885494232177734,2022-08-15T17:51:21.737554,2022-08-15T17:51:21.933346,success,77074,2
basic_patient_info,0.16445159912109375,2022-08-15T17:51:21.834676,2022-08-15T17:51:22.002348,success,77074,5
age_histogram,0.48017096519470215,2022-08-15T17:51:21.525009,2022-08-15T17:51:22.012608,success,77074,3
central_line_durations,0.18042922019958496,2022-08-15T17:51:22.013471,2022-08-15T17:51:22.201416,success,77074,3
blood_gas_first_day,0.35852932929992676,2022-08-15T17:51:21.934099,2022-08-15T17:51:22.298309,success,77074,2
bun,0.42640089988708496,2022-08-15T17:51:22.008444,2022-08-15T17:51:22.437895,success,77074,5
code_status,0.23432612419128418,2022-08-15T17:51:22.202098,2022-08-15T17:51:22.440943,success,77074,3
crrt_durations,0.10292363166809082,2022-08-15T17:51:22.438777,2022-08-15T17:51:22.545213,success,77074,5
colloid_bolus,0.3717944622039795,2022-08-15T17:51:22.298726,2022-08-15T17:51:22.673060,success,77074,2
crystalloid_bolus,2.33841609954834,2022-08-15T17:51:22.441951,2022-08-15T17:51:24.785724,success,77074,3
angus,4.13474440574646,2022-08-15T17:51:21.525346,2022-08-15T17:51:25.668680,success,77074,4
dobutamine_dose,3.5281097888946533,2022-08-15T17:51:22.545809,2022-08-15T17:51:26.076502,success,77074,5
dobutamine_durations,3.401081085205078,2022-08-15T17:51:22.673558,2022-08-15T17:51:26.078000,success,77074,2
echo_data,0.09917926788330078,2022-08-15T17:51:26.077397,2022-08-15T17:51:26.180086,success,77074,5
elixhauser_ahrq_v37_no_drg,0.9119536876678467,2022-08-15T17:51:26.180956,2022-08-15T17:51:27.096383,success,77074,5
elixhauser_ahrq_v37,3.1256766319274902,2022-08-15T17:51:26.078861,2022-08-15T17:51:29.207990,success,77074,2
dopamine_durations,3.984621047973633,2022-08-15T17:51:25.669222,2022-08-15T17:51:29.656888,success,77074,4
dopamine_dose,5.2252583503723145,2022-08-15T17:51:24.786569,2022-08-15T17:51:30.014798,success,77074,3
elixhauser_quan,3.0542654991149902,2022-08-15T17:51:27.097508,2022-08-15T17:51:30.156518,success,77074,5
explicit,0.4951038360595703,2022-08-15T17:51:29.657536,2022-08-15T17:51:30.157311,success,77074,4
ffp_transfusion,0.3421931266784668,2022-08-15T17:51:30.015363,2022-08-15T17:51:30.360495,success,77074,3
gcs_first_day,0.2660977840423584,2022-08-15T17:51:30.158074,2022-08-15T17:51:31.023637,success,77074,4
gcs,0.3614919185638428,2022-08-15T17:51:30.157650,2022-08-15T17:51:31.025771,success,77074,5
glucose,0.254305362701416,2022-08-15T17:51:30.361156,2022-08-15T17:51:31.027964,success,77074,3
epinephrine_durations,1.924201488494873,2022-08-15T17:51:29.209117,2022-08-15T17:51:31.136062,success,77074,2
height,0.1525869369506836,2022-08-15T17:51:31.030486,2022-08-15T17:51:31.194746,success,77074,3
icd9count,0.10493230819702148,2022-08-15T17:51:31.196403,2022-08-15T17:51:31.303930,success,77074,3
heart_rate,0.3735063076019287,2022-08-15T17:51:31.028865,2022-08-15T17:51:31.409319,success,77074,5
hco,0.3843390941619873,2022-08-15T17:51:31.026712,2022-08-15T17:51:31.418336,success,77074,4
icd9vagehistogram,0.29216909408569336,2022-08-15T17:51:31.305094,2022-08-15T17:51:31.605188,success,77074,3
icd9vicd9count,0.2404766082763672,2022-08-15T17:51:31.418981,2022-08-15T17:51:31.670051,success,77074,4
icd9agelimited,0.550053596496582,2022-08-15T17:51:31.137242,2022-08-15T17:51:31.690545,success,77074,2
isuprel_durations,0.09247994422912598,2022-08-15T17:51:31.692185,2022-08-15T17:51:31.800234,success,77074,2
icd9vicd9agelimited,0.46590566635131836,2022-08-15T17:51:31.413774,2022-08-15T17:51:31.884970,success,77074,5
icustay_times,0.2829315662384033,2022-08-15T17:51:31.690970,2022-08-15T17:51:31.977892,success,77074,3
kdigo_creatinine,1.06058931350708,2022-08-15T17:51:31.801148,2022-08-15T17:51:32.865429,success,77074,2
icustay_detail,1.188506841659546,2022-08-15T17:51:31.671202,2022-08-15T17:51:32.871484,success,77074,4
min_surviving_bp,0.374462366104126,2022-08-15T17:51:32.872444,2022-08-15T17:51:33.250709,success,77074,4
martin,1.5702385902404785,2022-08-15T17:51:31.978333,2022-08-15T17:51:33.550757,success,77074,3
mortality,0.4282994270324707,2022-08-15T17:51:33.251185,2022-08-15T17:51:33.682507,success,77074,4
labs_first_day,2.0999157428741455,2022-08-15T17:51:31.885698,2022-08-15T17:51:33.988640,success,77074,5
number_of_patients,0.08472919464111328,2022-08-15T17:51:33.989791,2022-08-15T17:51:34.078401,success,77074,5
milrinone_durations,2.0048608779907227,2022-08-15T17:51:32.866828,2022-08-15T17:51:34.880068,success,77074,2
neuroblock_dose,1.3352408409118652,2022-08-15T17:51:33.551603,2022-08-15T17:51:34.890676,success,77074,3
pivoted_bg,0.19750142097473145,2022-08-15T17:51:34.894587,2022-08-15T17:51:35.095115,success,77074,3
pivoted_fio2,0.0806570053100586,2022-08-15T17:51:35.096443,2022-08-15T17:51:35.180928,success,77074,3
pivoted_gcs,0.07624197006225586,2022-08-15T17:51:35.181465,2022-08-15T17:51:35.260373,success,77074,3
pivoted_height,0.08249449729919434,2022-08-15T17:51:35.261320,2022-08-15T17:51:35.346553,success,77074,3
pivoted_icp,0.06775355339050293,2022-08-15T17:51:35.347079,2022-08-15T17:51:35.417891,success,77074,3
pivoted_invasive_lines,0.7632546424865723,2022-08-15T17:51:35.418441,2022-08-15T17:51:36.184966,success,77074,3
pivoted_lab,0.16787934303283691,2022-08-15T17:51:36.185941,2022-08-15T17:51:36.915024,success,77074,3
pivoted_rrt,0.6227731704711914,2022-08-15T17:51:36.916095,2022-08-15T17:51:37.542696,success,77074,3
norepinephrine_durations,6.188944339752197,2022-08-15T17:51:33.682877,2022-08-15T17:51:39.874647,success,77074,4
pivoted_vital,0.10579609870910645,2022-08-15T17:51:39.875460,2022-08-15T17:51:39.985248,success,77074,4
potassium,0.28975677490234375,2022-08-15T17:51:39.985876,2022-08-15T17:51:40.278087,success,77074,4
phenylephrine_dose,6.700753927230835,2022-08-15T17:51:34.079040,2022-08-15T17:51:40.783538,success,77074,5
rr,0.3685948848724365,2022-08-15T17:51:40.784444,2022-08-15T17:51:41.157142,success,77074,5
phenylephrine_durations,6.299361705780029,2022-08-15T17:51:34.885993,2022-08-15T17:51:41.189472,success,77074,2
sbp,0.29157328605651855,2022-08-15T17:51:41.190016,2022-08-15T17:51:41.483920,success,77074,2
sodium,0.2599949836730957,2022-08-15T17:51:41.484767,2022-08-15T17:51:41.747105,success,77074,2
rbc_transfusion,1.65130615234375,2022-08-15T17:51:40.278815,2022-08-15T17:51:41.932591,success,77074,4
temp,0.272672176361084,2022-08-15T17:51:41.748146,2022-08-15T17:51:42.024009,success,77074,2
rrt_first_day,2.8210926055908203,2022-08-15T17:51:41.158127,2022-08-15T17:51:43.981918,success,77074,5
pivoted_uo,6.580365419387817,2022-08-15T17:51:37.595536,2022-08-15T17:51:44.178353,success,77074,3
urine_output,4.667097568511963,2022-08-15T17:51:42.024881,2022-08-15T17:51:46.694894,success,77074,2
vasopressin_dose,2.590242624282837,2022-08-15T17:51:44.178847,2022-08-15T17:51:46.771876,success,77074,3
vasopressin_durations,1.2485954761505127,2022-08-15T17:51:46.695641,2022-08-15T17:51:47.947622,success,77074,2
uo,6.143251180648804,2022-08-15T17:51:41.932980,2022-08-15T17:51:48.084383,success,77074,4
ventilation_classification,0.18590092658996582,2022-08-15T17:51:47.948591,2022-08-15T17:51:48.138031,success,77074,2
vitals_first_day,0.10559606552124023,2022-08-15T17:51:48.085710,2022-08-15T17:51:48.194434,success,77074,4
blood_gas_first_day_arterial,0.09223198890686035,2022-08-15T17:51:48.195073,2022-08-15T17:51:48.290043,success,77074,4
wbc,0.2916233539581299,2022-08-15T17:51:48.139012,2022-08-15T17:51:48.433898,success,77074,2
weight_durations,0.08755874633789062,2022-08-15T17:51:48.434366,2022-08-15T17:51:48.524967,success,77074,2
height_first_day,0.24313616752624512,2022-08-15T17:51:48.290915,2022-08-15T17:51:48.542869,success,77074,4
elixhauser_score_ahrq,0.1752176284790039,2022-08-15T17:51:48.544626,2022-08-15T17:51:48.740756,success,77074,4
weight_first_day,0.2792351245880127,2022-08-15T17:51:48.532096,2022-08-15T17:51:48.814554,success,77074,2
elixhauser_score_quan,0.192734956741333,2022-08-15T17:51:48.741629,2022-08-15T17:51:48.946555,success,77074,4
meld,0.4304537773132324,2022-08-15T17:51:48.947103,2022-08-15T17:51:49.379098,success,77074,4
pivoted_bg_art,0.07582831382751465,2022-08-15T17:51:49.380259,2022-08-15T17:51:49.458624,success,77074,4
icustay_hours,1.022061824798584,2022-08-15T17:51:48.815101,2022-08-15T17:51:49.957435,success,77074,2
urine_output_first_day,6.061884880065918,2022-08-15T17:51:43.982583,2022-08-15T17:51:50.047820,success,77074,5
ventilation_durations,0.16111993789672852,2022-08-15T17:51:49.958108,2022-08-15T17:51:50.124150,success,77074,4
qsofa,0.32041192054748535,2022-08-15T17:51:49.958773,2022-08-15T17:51:50.285066,success,77074,2
sirs,0.32277965545654297,2022-08-15T17:51:50.048711,2022-08-15T17:51:50.373806,success,77074,5
heightweight,0.2383129596710205,2022-08-15T17:51:50.285726,2022-08-15T17:51:50.527180,success,77074,2
epinephrine_dose,1.2869985103607178,2022-08-15T17:51:50.124952,2022-08-15T17:51:51.415359,success,77074,4
lods,0.49831604957580566,2022-08-15T17:51:51.415884,2022-08-15T17:51:51.916855,success,77074,4
mlods,0.41863512992858887,2022-08-15T17:51:51.917784,2022-08-15T17:51:52.338941,success,77074,4
norepinephrine_dose,6.211203575134277,2022-08-15T17:51:50.528667,2022-08-15T17:51:56.742514,success,77074,2
sapsii,4.685276746749878,2022-08-15T17:51:52.340060,2022-08-15T17:51:57.029014,success,77074,4
ventilation_first_day,0.24985599517822266,2022-08-15T17:51:57.030115,2022-08-15T17:51:57.282845,success,77074,4
sofa,4.600793838500977,2022-08-15T17:51:56.743191,2022-08-15T17:52:01.347440,success,77074,2
apsiii,5.372949600219727,2022-08-15T17:51:57.284343,2022-08-15T17:52:02.660354,success,77074,4
oasis,1.5096673965454102,2022-08-15T17:52:01.348471,2022-08-15T17:52:02.861232,success,77074,2
saps,0.7466428279876709,2022-08-15T17:52:02.661557,2022-08-15T17:52:03.411380,success,77074,4
vasopressor_durations,16.815160751342773,2022-08-15T17:51:46.772832,2022-08-15T17:52:03.590238,success,77074,3
abx_prescriptions_list,49.25422167778015,2022-08-15T17:51:21.524178,2022-08-15T17:52:10.783137,success,77074,1
suspicion_of_infection,11.197290658950806,2022-08-15T17:52:10.784350,2022-08-15T17:52:21.984123,success,77074,2
kdigo_uo,431.9376332759857,2022-08-15T17:51:50.374491,2022-08-15T17:59:02.314068,success,77074,5
kdigo_stages,8.208616018295288,2022-08-15T17:59:02.315983,2022-08-15T17:59:10.527152,success,77074,3
kdigo_stages_48hr,0.8733649253845215,2022-08-15T17:59:10.528818,2022-08-15T17:59:11.406972,success,77074,4
kdigo_stages_7day,0.8726344108581543,2022-08-15T17:59:10.529145,2022-08-15T17:59:11.408082,success,77074,2
adenosine_durations,0.18634319305419922,2022-08-15T18:01:44.538555,2022-08-15T18:01:44.731116,success,79685,2
arterial_line_durations,0.3608231544494629,2022-08-15T18:01:44.540143,2022-08-15T18:01:44.908424,success,79685,5
auroc,0.25092363357543945,2022-08-15T18:01:44.732274,2022-08-15T18:01:44.992839,success,79685,2
